{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_QCDPtoFs[i]} {best_TTBar_Effs[i]}
500 200 0.0 0.0 nan 0.0 nan nan 0.0
600 150 0.0 0.0 nan 0.0 0.0 0.0 nan
650 300 0.0 0.0 nan 0.0 nan nan 0.0
4000 300 0.875 28186.297095239042 0.6174306151196594 0.008622212277024841 0.008966562031548794 0.009047688693460853 0.0
400 70 0.0 0.0 nan nan nan nan nan
2000 1400 0.0 0.0 nan nan nan nan nan
2000 200 0.975 7048.444345405304 0.2682072362521419 0.00032041875577429145 0.00041329716008485853 0.00041346804525374775 0.00011643701492150529
900 100 0.935 68.86760537752785 0.34500021395265373 0.0009393661796274508 0.0005650334339276244 0.0005653528772052125 0.005520561153632783
3500 1600 0.0 0.0 nan nan nan nan nan
3000 1200 0.0 0.0 nan nan nan nan nan
2000 300 0.975 5186.849562591456 0.29802020235886645 0.0008626197812334532 0.00100881020749456 0.001009828933230226 0.0
3000 2600 0.0 0.0 nan nan nan nan nan
2000 80 0.965 9375.73833582589 0.34729212269179777 0.00043969239044462205 0.00045641746073120555 0.0004566258727525515 0.0
550 80 0.0 0.0 nan 0.0 0.0 0.0 nan
2500 1800 0.0 0.0 nan nan nan nan nan
900 500 0.0 0.0 nan 0.0 0.0 0.0 nan
550 60 0.0 0.0 nan 0.0 0.0 0.0 nan
2000 60 0.965 10410.296562606138 0.36142656033581605 0.0004597025384839806 0.00047393555891619114 0.000474160280333667 0.0
1200 100 0.975 1556.533531860874 0.17469516801172705 0.0003210063182491756 0.00028707300768534915 0.0002871554422618325 0.0007472169135441557
1600 800 0.0 0.0 nan 0.0 nan nan 0.0
2500 150 0.935 12288.263922466314 0.4742477511136238 0.0025235209288361027 0.0028254378061141386 0.002833443524569948 0.0013024571120917358
500 60 0.0 0.0 nan 0.0 0.0 0.0 nan
800 125 0.905 2.099533994738384 0.3188140291049469 0.008536498712462318 0.00950493400878013 0.009596144731188784 0.0016659412963167884
500 95 0.0 0.0 nan 0.0 0.0 0.0 nan
2500 800 0.1 1.800685774623906 0.4513540681037575 1.0 1.0 nan nan
1000 125 0.97 640.0657990002449 0.28664857432500845 0.0005628702219870333 0.0004745874092051521 0.0004748127493577273 0.0009563224530607739
500 125 0.0 0.0 nan 0.0 0.0 0.0 nan
4000 1400 0.0 0.0 nan nan nan nan nan
3500 60 0.75 26059.844009076165 0.7059987944901023 0.006337996002949712 0.006418593603457426 0.00646005809099827 0.0
900 95 0.9500000000000001 58.96634316212548 0.2786043168116419 0.0007037586045359784 0.0004949884841975059 0.0004952336191359657 0.0036690433276365783
1000 500 0.0 0.0 0.0 0.0 0.0 0.0 nan
3000 70 0.85 18968.44276445728 0.6308808222503014 0.0043184007395885215 0.004391404511456806 0.004410774004318386 0.0
2500 1200 0.0 0.0 nan nan nan nan nan
900 200 0.97 2.2883431128809413 0.05899930301017625 0.0011071489044345711 0.0017291391725556256 0.0017321342737805457 0.0002494757500166745
600 100 0.0 3.53017604368032 1.0 0.0 0.0 0.0 nan
600 70 0.0 0.0 nan 0.0 0.0 0.0 nan
1400 150 0.975 4331.839210373261 0.2524727817523566 0.00016602870706882924 0.00022312424777127163 0.00022317404331180762 4.26868780518227e-05
3500 2000 0.0 0.0 nan nan nan nan nan
2500 95 0.935 9461.145541636144 0.3968301869560248 0.0024162998139204673 0.00246455157627652 0.0024706405974553917 0.0010205048884469653
1800 600 0.495 8.799636711793763 0.837127163431543 0.1818574848590823 0.06881573699976756 0.07390131012099202 0.5425250429300266
500 90 0.0 0.0 nan 0.0 0.0 0.0 nan
1000 80 0.98 551.5859498608912 0.22951642676616765 0.00035529544939661946 0.0003209761413220409 0.0003210792000847428 0.0009905985545050826
900 90 0.9500000000000001 65.09049783384455 0.3085681770057572 0.0006648909093356709 0.00046350649684557686 0.00046372143474330695 0.003970683918081469
2500 1000 0.0 0.0 nan nan nan nan nan
300 95 0.0 0.0 nan nan nan nan nan
650 95 0.0 0.0 nan 0.0 0.0 0.0 nan
700 90 0.0 0.0 nan 0.0 0.0 0.0 0.0
650 400 0.0 0.0 nan nan nan nan nan
2500 600 0.895 421.8089683015395 0.6510783168349239 0.009450854210724316 0.010716779685569333 0.01083287320102644 0.0
3500 125 0.8250000000000001 27881.449748320294 0.6632380664310635 0.006362431288186895 0.00635374726453391 0.006394375510441783 0.006541743459320326
600 80 0.0 0.0 nan 0.0 0.0 0.0 nan
600 400 0.0 0.0 nan nan nan nan nan
300 90 0.0 0.0 nan nan nan nan nan
