{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_QCDPtoFs[i]} {best_TTBar_Effs[i]}
1600 1200 0.0 0.0 nan nan nan nan nan
1000 600 0.705 0.0 nan 0.0 0.0 0.0 nan
3500 95 0.8 8395.399005077634 0.5774476545657516 0.004543049911168003 0.004491758104658177 0.004512025029653545 0.0065379693469609
1000 70 0.98 219.32492501028048 0.24038975666446957 0.00038595855351828925 0.0003917903237108983 0.00039194388353190374 0.00028074513561175636
1600 1400 0.0 0.0 nan nan nan nan nan
1200 70 0.975 812.6836958895167 0.3024269653746792 0.0004799993314094451 0.00048174794972333343 0.0004819801426688715 0.000446906431417308
1600 300 0.975 786.486412808544 0.2991697824955294 0.0004454471540243145 0.0004978152396468357 0.0004980631830896848 0.0002153277746932334
1400 1200 0.0 0.0 nan nan nan nan nan
1000 100 0.975 135.56943707151967 0.1662318287145465 0.0004687051910614049 0.0004891256693999424 0.0004893650303980167 0.00024666878248933284
1600 1000 0.0 0.0 nan 1.0 nan nan 1.0
1000 800 0.0 0.0 nan nan nan nan nan
1800 600 0.91 3.3305590764941626 0.5956999487680882 0.0 0.0 0.0 0.0
1600 150 0.975 2275.651838916754 0.2729490244702345 0.00018368822089123233 0.00026665137625704247 0.0002667224981782604 2.5197844697545567e-06
1200 800 0.0 0.0 nan 0.0 nan nan 0.0
1600 800 0.0 0.0 nan 0.42198169131155266 nan nan 0.42198169131155266
1000 400 0.785 0.3006149534225271 0.4762786747704936 0.0 0.0 0.0 0.0
3000 1200 0.0 0.0 nan nan nan nan nan
300 60 0.0 0.0 nan nan nan nan nan
1200 90 0.975 558.4390905715757 0.2260127993253653 0.0004685678136045015 0.0004728518056988599 0.00047307550030341024 0.0004053336841180948
1600 500 0.985 1.1233880349766474 0.06986942868964408 0.0 0.0 0.0 0.0
650 150 0.725 0.0 nan 0.0047850931465449305 0.0 0.0 0.011362713795051977
2000 1400 0.0 0.0 nan nan nan nan nan
1800 400 0.985 116.57413965199311 0.12659651484628198 0.00011256622837238396 0.00012424091619896648 0.00012425635392222133 0.0
1000 150 0.975 147.0065347488303 0.2370519718032046 0.0003875368888009289 0.00043176018912440705 0.00043194668650746513 0.00030893219346572867
550 150 0.725 0.0 nan 0.0 0.0 0.0 0.0
1200 500 0.8300000000000001 0.0 0.0 0.0016121626908683338 0.0 0.0 0.013760139322368468
1000 500 0.705 0.0 0.0 0.0 0.0 0.0 0.0
3500 1600 0.0 0.0 nan nan nan nan nan
1400 600 0.0 0.0 nan 0.22852984992889913 0.0 0.0 0.48609981784116507
650 300 0.9400000000000001 0.0 nan 0.0 0.0 0.0 0.0
1400 500 0.9400000000000001 1.377214080088652 0.18175604057403755 0.0 0.0 0.0 0.0
700 300 0.9400000000000001 0.0 nan 0.0 0.0 0.0 0.0
2500 1000 0.0 0.0 nan nan nan nan nan
3000 1400 0.0 0.0 nan nan nan nan nan
1000 90 0.98 138.70830624353988 0.1778019662342151 0.0003948634770304473 0.0004033309157921472 0.0004034936572584456 0.00027430286882930893
550 60 0.705 0.0230110111928114 1.0 0.0 0.0 0.0 0.0
1800 1000 0.0 0.0 nan 1.0 nan nan 1.0
1200 300 0.98 6.962871627734778 0.039468101753561746 0.00012153005822220836 0.0001570354959089991 0.0001570601599291011 0.0
1200 200 0.98 458.8643483665126 0.22107398202837072 0.00023193424238049796 0.00028558748930737247 0.00028566907282065213 0.00016639735943578307
2500 400 0.97 3446.1461726612542 0.4202993764618611 0.0012957173910528273 0.001412584926420331 0.0014145831452484772 0.0
1200 1000 0.0 0.0 nan nan nan nan nan
2500 1800 0.0 0.0 nan nan nan nan nan
1600 100 0.975 1540.7769548228307 0.18453357575319007 0.00020557724839437422 0.00021205895460375083 0.00021210393314208031 0.0001201878086331475
900 300 0.85 1.3884341770979132 0.4759749028950143 0.0017702077260622325 0.0 0.0 0.005584468712604545
2000 1000 0.0 0.0 nan nan nan nan nan
3000 100 0.88 6085.424749173998 0.48227085504493017 0.003020802719230245 0.0030892330958457496 0.003098806029991205 0.001075390869211363
1600 60 0.975 2277.072361188356 0.2965385701998563 0.0002777263776110767 0.0002820945294956842 0.0002821741292739176 0.00017014771089400398
