{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_QCDPtoFs[i]} {best_TTBar_Effs[i]}
3000 60 0.9567539314923802 9489.213331619178 0.527421690796078 0.0007888833365289931 0.0007343976639922427 0.0007350383377748279 0.0008971727767960045
3500 3000 0.0 0.0 nan nan nan nan nan
2000 200 0.9699955324768019 4687.809108902226 0.3799774568361736 0.0003994111469142893 0.0005001868598654738 0.0005004371750829447 0.00025879279421634095
500 95 0.0 0.0 nan 0.0073641605142496964 0.0 0.0 0.02747010505898172
500 90 0.0 0.0 nan 0.0073641605142496964 0.0 0.0 0.02747010505898172
700 90 0.12496733789376085 0.9134952715788704 1.0 0.02720025890923831 0.0004385221677399453 0.0004537523921129204 0.06661619068088954
700 500 0.0 0.0 nan nan nan nan nan
700 95 0.12496733789376085 1.1723280060513928 0.8741482131430193 0.02720025890923831 0.0004385221677399453 0.0004537523921129204 0.06661619068088954
2500 95 0.9563672752940585 7677.516125533335 0.4782731584284179 0.0007519951496443154 0.0005703249508859803 0.0005706844716067037 0.0010498961638298796
2000 300 0.9676367809024231 4191.179406559181 0.45290845408080005 0.00042943027940776766 0.0005001865894474103 0.0005004371750829447 0.0003619225596154933
2500 90 0.9563868811296451 7748.487653717451 0.48998143388198184 0.0007537143274021629 0.0005703247119973176 0.0005706844716067037 0.0010536894410987758
550 90 0.0 0.0 nan 0.005409793619232361 0.0 0.0 0.015230671439224502
550 95 0.0 0.0 nan 0.005409793619232361 0.0 0.0 0.015230671439224502
2500 1600 0.0 0.0 nan nan nan nan nan
1400 800 0.0 0.0 nan nan nan nan nan
500 70 0.0 0.0 nan 0.0073641605142496964 0.0 0.0 0.02747010505898172
800 90 0.9393341078606585 4.466619248340797 0.31694758921853866 0.0016119895855300228 0.00045404303591721094 0.00045481833827814167 0.004060479720923922
2000 1800 0.0 0.0 nan nan nan nan nan
2500 1400 0.0 0.0 nan nan nan nan nan
3000 2000 0.0 0.0 nan nan nan nan nan
2000 400 0.9564449320647381 1514.1980025472997 0.441257656555743 0.0003560417769500553 0.0005000847140867197 0.0005004371750829447 9.964034577455335e-05
650 100 0.12498583262522196 0.0 nan 0.025253297632935615 0.0004197120382346804 0.0004532836428204115 0.0776844623550585
3500 125 0.9571652922592666 3849.0364112681823 0.37814850009077977 0.0010374159781830754 0.0011180348509834588 0.0011195683433569451 0.0008176438839254303
600 125 0.0 0.0 nan 0.0033150685020707413 0.0 0.0 0.010620021960400815
2500 125 0.956283473923806 2592.1898848917867 0.3725383944769713 0.0007426301343873907 0.00057032612036804 0.0005706844716067037 0.0010259203646255796
1200 500 0.5924673145484305 0.034072374933519244 0.023646546472492314 0.01107234571866526 0.0004457264676596728 0.0004614585660980383 0.02187850340005913
500 100 0.0 0.0 nan 0.0073641605142496964 0.0 0.0 0.02747010505898172
4000 3500 0.0 0.0 nan nan nan nan nan
4000 1800 0.0 0.0 nan nan nan nan nan
1200 400 0.9899455862356239 0.7942131405908884 0.00783332601530421 0.00023064793263631025 0.0004612153103437882 0.0004614585660980383 0.0
2000 80 0.9702661223885912 5455.317511579574 0.4279226451267892 0.0004030375458466315 0.0005001850806367908 0.0005004371750829447 0.00026896499868557424
4000 70 0.4569484896072273 14550.440821524504 0.8668044034886545 0.008839287973708478 0.002014612787481073 0.002019232760388231 0.030462981460673322
900 90 0.9561383062581247 53.49643653750946 0.2755967399790281 0.0008231127745212657 0.0004558454613492082 0.0004560818094390246 0.0013547874431856987
3500 2000 0.0 0.0 nan nan nan nan nan
1800 1200 0.0 0.0 nan nan nan nan nan
1600 60 0.9724418423873947 3538.2139802233282 0.4217746087878273 0.0003751465500415065 0.0004743393870395086 0.0004745655639286693 0.0002559936832379605
1200 80 0.9850996330494592 1233.0370982078161 0.25825358067076154 0.0003290133300016146 0.00046124532567063726 0.0004614585660980382 0.00016579221161311825
2000 150 0.9700750645952934 4927.113965838586 0.35254646212881285 0.0004000704952998612 0.000500186352870661 0.0005004371750829447 0.00026071663048584363
3000 600 0.9382143335841684 2332.207300093051 0.6476138637021825 0.0005034851895626425 0.0007342827012077636 0.000735038337774828 0.0
1800 300 0.9693170429796151 2787.2761974458963 0.4215637487178804 0.00036981048074734025 0.000485082728444574 0.00048532322503354704 0.0002715559643456519
650 90 0.12498583262522196 0.8825772768694382 1.0 0.025253297632935615 0.0004197120382346804 0.0004532836428204115 0.0776844623550585
3500 150 0.9571245420538614 11667.371233719836 0.4610081312786592 0.0010292010065182549 0.0011180201481794966 0.0011195683433569451 0.0007845337094263658
3500 1800 0.0 0.0 nan nan nan nan nan
1800 500 0.9695679976351745 9.986399443968406 0.06356093095124457 0.0010689295106707801 0.00048477283497534317 0.00048532322503354704 0.00197492556656521
2500 200 0.9563037608524444 6952.45477776319 0.45241462819416994 0.0007340167773095447 0.0005703279619782022 0.0005706844716067036 0.0010049169105300025
