{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_QCDPtoFs[i]} {best_TTBar_Effs[i]}
250 90 0.9666638699286129 nan nan nan nan 0.00045067678323441093 nan
300 50 0.966722047811093 nan nan nan nan 0.00045091425959115533 nan
350 212 0.9666629496726288 nan nan nan nan 0.0004511728041536803 nan
250 233 0.9666638699286129 nan nan nan nan 0.00045067678323441093 nan
500 100 0.9667200117725679 nan nan nan nan 0.00045209438199087047 nan
350 193 0.9666629496726288 nan nan nan nan 0.0004511728041536803 nan
200 70 0.9667227969116952 nan nan nan nan 0.0004504586582834863 nan
200 160 0.9667227969116952 nan nan nan nan 0.0004504586582834863 nan
350 339 0.9216608168204852 nan nan nan nan 0.00045117280415368034 nan
250 176 0.9666638699286129 nan nan nan nan 0.00045067678323441093 nan
200 100 0.9667227969116952 nan nan nan nan 0.0004504586582834863 nan
400 90 0.966721110348032 nan nan nan nan 0.00045145428603140327 nan
200 176 0.9667227969116952 nan nan nan nan 0.0004504586582834863 nan
400 70 0.9667211161156714 nan nan nan nan 0.0004514542860314032 nan
250 212 0.9666638699286129 nan nan nan nan 0.00045067678323441093 nan
500 80 0.9667216910636597 nan nan nan nan 0.00045209438199087047 nan
200 60 0.9667228280948207 nan nan nan nan 0.0004504586582834863 nan
300 100 0.9667220108356883 nan nan nan nan 0.0004509142595911554 nan
500 60 0.9667290660084388 nan nan nan nan 0.00045209438199087047 nan
400 146 0.9667210790959838 nan nan nan nan 0.0004514542860314033 nan
200 110 0.9667227969116952 nan nan nan nan 0.0004504586582834863 nan
300 90 0.9667220108356883 nan nan nan nan 0.0004509142595911554 nan
300 40 0.9667233130285618 nan nan nan nan 0.00045091425959115533 nan
350 176 0.9666629496726288 nan nan nan nan 0.0004511728041536803 nan
550 409 0.9454278549929491 nan nan nan nan 0.00045245762355104323 nan
400 100 0.966721110348032 nan nan nan nan 0.00045145428603140327 nan
400 193 0.9667210790959838 nan nan nan nan 0.0004514542860314033 nan
500 281 0.9615217046526136 nan nan nan nan 0.0004520943819908705 nan
500 133 0.9667200059967509 nan nan nan nan 0.0004520943819908704 nan
300 233 0.9667220108356883 nan nan nan nan 0.0004509142595911554 nan
500 409 0.945479458808711 nan nan nan nan 0.0004520943819908704 nan
400 309 0.9615720513101903 nan nan nan nan 0.00045145428603140327 nan
500 372 0.8658263804860614 nan nan nan nan 0.0004520943819908704 nan
400 160 0.9667210790959838 nan nan nan nan 0.0004514542860314033 nan
450 60 0.9666690269282792 nan nan nan nan 0.0004517607401556467 nan
300 193 0.9667220108356883 nan nan nan nan 0.0004509142595911554 nan
400 212 0.9667210790959838 nan nan nan nan 0.0004514542860314033 nan
200 40 0.9667228280948207 nan nan nan nan 0.0004504586582834863 nan
400 372 0.8599259413301066 nan nan nan nan 0.0004514542860314032 nan
500 233 0.9611309021480287 nan nan nan nan 0.00045209438199087047 nan
450 212 0.9667832216281323 nan nan nan nan 0.0004517607401556466 nan
300 176 0.9667220108356883 nan nan nan nan 0.0004509142595911554 nan
250 80 0.9666638699286129 nan nan nan nan 0.00045067678323441093 nan
300 160 0.9667220108356883 nan nan nan nan 0.0004509142595911554 nan
450 50 0.9666728923648942 nan nan nan nan 0.0004517607401556466 nan
250 40 0.9666639068845444 nan nan nan nan 0.00045067678323441093 nan
350 40 0.9666646625371529 nan nan nan nan 0.0004511728041536803 nan
350 60 0.9666629866692347 nan nan nan nan 0.0004511728041536803 nan
400 233 0.9322443846527199 nan nan nan nan 0.00045145428603140327 nan
450 160 0.9666618588887465 nan nan nan nan 0.00045176074015564657 nan
