{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_QCDPtoFs[i]} {best_TTBar_Effs[i]}
600 70 -0.81 1.929364068474988 1.0 0.0 0.0 0.0 nan
500 60 -0.81 0.0 nan 0.0 0.0 0.0 nan
900 300 -0.41000000000000003 0.6527757477325891 0.6101055318431438 0.12961751362601404 0.0 0.0 0.25220118640827516
2500 300 0.9299999999999999 10639.747837756084 0.5170664507820072 0.0036617827457356505 0.003303073419678583 0.0033140198706255327 0.00543300014419445
500 125 -0.81 0.0 nan 0.5013663883028661 0.0 0.0 1.0
3500 1600 -1.0 0.0 nan nan nan nan nan
800 60 0.8500000000000001 12.237904631130418 0.4410666753725229 0.0 0.0 0.0 0.0
2500 1000 -1.0 0.0 nan nan nan nan nan
2500 125 0.8900000000000001 11208.758017216845 0.5429125773991805 0.00446009092064706 0.004542328671777411 0.004563055569923587 0.003785170901233222
1200 800 -1.0 0.0 nan nan nan nan nan
2000 300 0.9000000000000001 5914.315624645076 0.5969893906365621 0.004151295971651884 0.004431355618300663 0.0044510799363842645 0.0032058870828939037
1200 70 0.9299999999999999 1516.761065986427 0.5005546586196025 0.004390949100658661 0.004384776316270545 0.004404087253755602 0.004445032687517568
1200 200 0.94 937.4939326052336 0.3990928704507707 0.0029837107398537435 0.0029715369141709615 0.002980393262770029 0.0030053316815100034
600 80 -0.81 0.0 nan 0.0 0.0 0.0 nan
1400 150 0.9000000000000001 2044.1102452164512 0.5294137136110955 0.004972634643031755 0.0047331858677004375 0.00475569545823444 0.005834370943115445
3500 800 -1.0 124.14984938645898 1.0 nan nan nan nan
700 70 -0.48 5.390343365282323 1.0 0.0 0.0 0.0 0.0
500 100 -0.81 0.0 nan 0.0 0.0 0.0 nan
800 80 0.8500000000000001 12.71804147831895 0.5850701758734216 0.0 0.0 0.0 0.0
1400 600 -0.69 0.0 nan 0.6259069968681662 0.0 0.0 1.0
2500 150 0.8800000000000001 9899.11670100381 0.5535389862676908 0.00458775194018637 0.004687961208093762 0.004710041700875973 0.003865658281960368
400 70 -1.0 0.0 nan nan nan nan nan
4000 300 0.8900000000000001 27031.94690605991 0.5743124021184325 0.004744851366657793 0.004971348808735905 0.004996186595013247 0.0
600 95 -0.81 0.0 nan 0.0 0.0 0.0 nan
1200 400 0.31000000000000005 14.836559156789226 0.7046052753464384 0.010685815782627941 0.0026576227962037875 0.002664704575829661 0.07532353371836731
500 95 -0.81 0.0 nan 0.0 0.0 0.0 nan
600 90 -0.81 0.0 nan 0.0 0.0 0.0 nan
900 95 0.9199999999999999 45.45448389199442 0.26182424677985994 0.004481438232433269 0.00482593695109174 0.004849339558053342 0.0019811850013138044
3000 600 0.8700000000000001 4577.535116844406 0.7582824431284603 0.0 0.0 0.0 0.0
1600 600 0.32000000000000006 0.0 nan 0.40865239752684374 0.0 0.0 0.8168940812516914
2000 80 0.9100000000000001 5711.394152550561 0.47658545961493975 0.00439422772140827 0.0047576821371807885 0.004780425884017294 0.00045114646551620006
3500 60 0.8800000000000001 23513.544689353945 0.5699761654196421 0.0037062808553314235 0.0037948877909994394 0.003809343823366452 0.0
2500 1200 -1.0 0.0 nan nan nan nan nan
4000 2600 -1.0 0.0 nan nan nan nan nan
3000 70 0.81 18470.031616917666 0.6462919802058184 0.004322180733545397 0.004295531152169813 0.004314062341349482 0.005210802608448698
1600 70 0.9299999999999999 3691.7919652477244 0.462249947019898 0.0032831622824820127 0.0033748810569915865 0.0033863094486027874 0.002338185519487617
1000 200 0.9299999999999999 89.37116655499663 0.3539001566675893 0.002843202297579631 0.0024255386035926287 0.0024314361458265014 0.003606636971150911
3000 150 0.8 16015.107985074002 0.6480000582203864 0.005527870341642611 0.004962489593634528 0.004987238713852995 0.011157943243963681
1800 200 0.9199999999999999 4317.778518990638 0.4863491535998121 0.003651402721827258 0.0041288866718502655 0.004146005056871005 0.002258174303539358
1800 1400 -1.0 0.0 nan nan nan nan nan
4000 1000 -1.0 0.0 nan nan nan nan nan
1600 800 -1.0 0.0 nan nan nan nan nan
550 100 -0.81 0.0 nan 0.0 0.0 0.0 nan
500 300 -1.0 0.0 nan 1.0 nan nan 1.0
600 400 -1.0 0.0 nan nan nan nan nan
3500 2000 -1.0 0.0 nan nan nan nan nan
