{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_TTBar_Effs[i]}
1600 90 0.96 10483.41507972703 0.5061009850446267 0.0019301219470978423 nan 0.0019301219470978423
1800 60 0.98 20973.043350586755 0.4601473225684519 0.00016626959624799415 nan 0.00016626959624799415
1800 400 0.8500000000000001 1031.3398398231107 0.7311609251782102 0.015110101841114333 nan 0.015110101841114333
1800 1000 -1.0 0.0 nan nan nan nan
1800 70 0.98 20277.640972286972 0.44288113250869204 0.00012129890886348214 nan 0.00012129890886348214
1800 500 0.71 46.05795974974458 0.5969828996451639 0.0 nan 0.0
1600 500 -0.6699999999999999 7.897446670939231 0.9370164484348806 0.7576615767914592 nan 0.7576615767914592
1800 100 0.94 14865.86518356554 0.5947661767361396 0.0026541973987520163 nan 0.0026541973987520163
650 100 -1.0 0.0 nan 1.0 nan 1.0
2500 1000 -1.0 0.0 nan nan nan nan
1800 80 0.98 19872.523190979115 0.4199990038235831 9.098417510730634e-05 nan 9.098417510730634e-05
2000 800 -1.0 0.0 nan nan nan nan
600 60 -1.0 0.0 nan 1.0 nan 1.0
800 300 -1.0 0.0 nan 1.0 nan 1.0
2500 800 -1.0 0.0 nan nan nan nan
550 90 -1.0 0.0 nan 1.0 nan 1.0
1000 70 0.96 1050.2734673904574 0.33271564245405066 0.0018490756411617326 nan 0.0018490756411617326
1600 300 0.97 2698.4960884818274 0.49398755863934873 0.0027478649745700696 nan 0.0027478649745700696
500 150 -1.0 0.0 nan 1.0 nan 1.0
1600 95 0.94 10062.32010987516 0.5671709014757197 0.0031623100593107236 nan 0.0031623100593107236
3000 60 0.8900000000000001 47343.07165321839 0.7907984486200013 0.0015950586741303085 nan 0.0015950586741303085
650 300 -1.0 0.0 nan 1.0 nan 1.0
550 95 -1.0 0.0 nan 1.0 nan 1.0
3500 600 -0.41000000000000003 21245.614984131462 0.9282363162269982 0.0 nan 0.0
1800 200 0.98 16172.246175245173 0.37547221432912903 1.61319373217227e-05 nan 1.61319373217227e-05
3500 400 0.9100000000000001 40325.32637383209 0.7690379188981283 0.0 nan 0.0
1800 600 -1.0 0.0 nan 1.0 nan 1.0
1600 400 -0.32999999999999996 261.2365945850559 0.6732510920237226 0.01727927498086692 nan 0.01727927498086692
1200 500 -1.0 0.0 nan 1.0 nan 1.0
1600 60 0.96 15042.625517006709 0.6320113109748439 0.0018182729056186223 nan 0.0018182729056186223
300 150 -1.0 0.0 nan nan nan nan
1600 150 0.99 8396.520710969171 0.16352456444407754 0.0 nan 0.0
2000 70 0.96 26161.398229413506 0.6351818048051604 0.0007799039250761775 nan 0.0007799039250761775
3500 2000 -1.0 0.0 nan nan nan nan
1000 400 -1.0 0.0 nan 1.0 nan 1.0
600 95 -1.0 0.0 nan 1.0 nan 1.0
3000 1400 -1.0 0.0 nan nan nan nan
4000 1200 -1.0 0.0 nan nan nan nan
300 80 -1.0 0.0 nan nan nan nan
2500 70 0.79 40086.20500961449 0.8849778871047205 0.002926854910857164 nan 0.002926854910857164
4000 2600 -1.0 0.0 nan nan nan nan
2500 2000 -1.0 0.0 nan nan nan nan
900 500 -1.0 0.0 nan nan nan nan
900 70 0.76 95.76117456786024 0.6048273584855447 0.02198061787051747 nan 0.02198061787051747
600 90 -1.0 0.0 nan 1.0 nan 1.0
3500 2600 -1.0 0.0 nan nan nan nan
650 200 -1.0 0.0 nan 1.0 nan 1.0
1200 150 0.98 2071.69667021259 0.24945086482420725 0.0008079861610000306 nan 0.0008079861610000306
900 150 0.8700000000000001 29.428930761003414 0.4317302671725459 0.010314676788531454 nan 0.010314676788531454
2500 400 0.95 19833.19222867864 0.6635605163419755 0.0 nan 0.0
600 100 -1.0 0.0 nan 1.0 nan 1.0
700 80 -0.44999999999999996 5.236107771437156 1.0 0.0 nan 0.0
2500 1600 -1.0 0.0 nan nan nan nan
